Time, H, H_Bound
4.1579999999999655e-3, 8, 92
4.1639999999999655e-3, 8, 92
4.169999999999965e-3, 8, 92
4.175999999999965e-3, 8, 92
4.181999999999965e-3, 8, 92
4.187999999999965e-3, 8, 92
4.193999999999965e-3, 8, 92
4.199999999999965e-3, 8, 92
4.205999999999965e-3, 8, 92
4.211999999999965e-3, 8, 92
4.217999999999965e-3, 7, 93
4.223999999999965e-3, 7, 93
4.229999999999965e-3, 7, 93
4.235999999999965e-3, 7, 93
4.2419999999999645e-3, 7, 93
4.2479999999999645e-3, 6, 94
4.253999999999964e-3, 6, 94
4.259999999999964e-3, 6, 94
4.265999999999964e-3, 6, 94
4.271999999999964e-3, 5, 95
4.277999999999964e-3, 5, 95
4.283999999999964e-3, 5, 95
4.289999999999964e-3, 5, 95
4.295999999999964e-3, 5, 95
4.301999999999964e-3, 5, 95
4.307999999999964e-3, 6, 94
4.313999999999964e-3, 6, 94
4.319999999999964e-3, 6, 94
4.3259999999999636e-3, 6, 94
4.3319999999999635e-3, 6, 94
4.337999999999963e-3, 6, 94
4.343999999999963e-3, 6, 94
4.349999999999963e-3, 6, 94
4.355999999999963e-3, 6, 94
4.361999999999963e-3, 6, 94
4.367999999999963e-3, 6, 94
4.373999999999963e-3, 6, 94
4.379999999999963e-3, 6, 94
4.385999999999963e-3, 6, 94
4.391999999999963e-3, 6, 94
4.397999999999963e-3, 6, 94
4.403999999999963e-3, 6, 94
4.4099999999999626e-3, 6, 94
4.4159999999999625e-3, 6, 94
4.421999999999962e-3, 6, 94
4.427999999999962e-3, 5, 95
4.433999999999962e-3, 5, 95
4.439999999999962e-3, 5, 95
4.445999999999962e-3, 5, 95
4.451999999999962e-3, 5, 95
4.457999999999962e-3, 5, 95
4.463999999999962e-3, 4, 96
4.469999999999962e-3, 4, 96
4.475999999999962e-3, 4, 96
4.481999999999962e-3, 4, 96
4.487999999999962e-3, 4, 96
4.493999999999962e-3, 4, 96
4.4999999999999615e-3, 4, 96
4.505999999999961e-3, 4, 96
4.511999999999961e-3, 4, 96
4.517999999999961e-3, 4, 96
4.523999999999961e-3, 4, 96
4.529999999999961e-3, 4, 96
4.535999999999961e-3, 3, 97
4.541999999999961e-3, 3, 97
4.547999999999961e-3, 3, 97
4.553999999999961e-3, 3, 97
4.559999999999961e-3, 3, 97
4.565999999999961e-3, 3, 97
4.571999999999961e-3, 3, 97
4.577999999999961e-3, 3, 97
4.5839999999999605e-3, 3, 97
4.58999999999996e-3, 3, 97
4.59599999999996e-3, 3, 97
4.60199999999996e-3, 3, 97
4.60799999999996e-3, 3, 97
4.61399999999996e-3, 3, 97
4.61999999999996e-3, 3, 97
4.62599999999996e-3, 3, 97
4.63199999999996e-3, 3, 97
4.63799999999996e-3, 3, 97
4.64399999999996e-3, 3, 97
4.64999999999996e-3, 3, 97
4.65599999999996e-3, 4, 96
4.66199999999996e-3, 4, 96
4.6679999999999595e-3, 4, 96
4.6739999999999594e-3, 4, 96
4.679999999999959e-3, 4, 96
4.685999999999959e-3, 4, 96
4.691999999999959e-3, 4, 96
4.697999999999959e-3, 4, 96
4.703999999999959e-3, 4, 96
4.709999999999959e-3, 4, 96
4.715999999999959e-3, 4, 96
4.721999999999959e-3, 4, 96
4.727999999999959e-3, 4, 96
4.733999999999959e-3, 4, 96
4.739999999999959e-3, 4, 96
4.745999999999959e-3, 4, 96
4.7519999999999585e-3, 4, 96
4.7579999999999584e-3, 4, 96
4.763999999999958e-3, 4, 96
4.769999999999958e-3, 4, 96
4.775999999999958e-3, 4, 96
4.781999999999958e-3, 4, 96
